iter	Passed	Remaining
0	140	140321
1	141	70475
2	141	47163
3	142	35510
4	143	28522
5	144	23873
6	144	20531
7	145	18038
8	146	16084
9	146	14520
10	147	13235
11	147	12167
12	148	11261
13	148	10484
14	149	9810
15	149	9221
16	150	8688
17	150	8225
18	151	7811
19	151	7437
20	152	7099
21	152	6791
22	153	6511
23	153	6254
24	154	6018
25	154	5799
26	155	5596
27	155	5409
28	156	5234
29	156	5071
30	157	4918
31	157	4774
32	158	4640
33	158	4513
34	159	4396
35	160	4285
36	160	4179
37	161	4078
38	161	3983
39	162	3891
40	162	3804
41	163	3722
42	163	3645
43	164	3571
44	164	3501
45	165	3434
46	166	3369
47	166	3306
48	167	3246
49	167	3188
50	168	3132
51	168	3078
52	169	3026
53	170	2978
54	170	2931
55	171	2884
56	171	2839
57	172	2795
58	172	2754
59	173	2714
60	173	2676
61	174	2639
62	175	2603
63	175	2568
64	176	2535
65	176	2501
66	177	2471
67	178	2443
68	178	2413
69	179	2385
70	180	2357
71	180	2332
72	181	2305
73	182	2280
74	183	2258
75	183	2235
76	184	2212
77	185	2189
78	186	2169
79	186	2148
80	187	2127
81	188	2106
82	188	2085
83	189	2064
84	189	2042
85	190	2022
86	190	2001
87	191	1983
88	192	1965
89	192	1947
90	193	1929
91	193	1912
92	194	1893
93	194	1877
94	195	1861
95	195	1845
96	196	1831
97	197	1816
98	197	1800
99	198	1785
100	198	1770
101	199	1756
102	200	1741
103	200	1728
104	201	1714
105	201	1700
106	202	1687
107	202	1674
108	203	1661
109	203	1648
110	204	1636
111	204	1624
112	205	1612
113	206	1601
114	206	1590
115	207	1579
116	207	1568
117	208	1556
118	208	1544
119	209	1533
120	209	1523
121	210	1512
122	210	1502
123	211	1492
124	211	1482
125	212	1471
126	212	1462
127	213	1452
128	213	1443
129	214	1434
130	214	1424
131	215	1415
132	215	1406
133	216	1397
134	216	1388
135	217	1379
136	217	1371
137	218	1363
138	218	1356
139	219	1351
140	220	1343
141	220	1335
142	221	1327
143	221	1319
144	222	1310
145	222	1302
146	223	1295
147	223	1288
148	224	1280
149	224	1273
150	225	1266
151	225	1259
152	226	1252
153	226	1245
154	227	1238
155	227	1232
156	228	1225
157	228	1219
158	229	1212
159	229	1206
160	230	1200
161	231	1195
162	231	1188
163	232	1182
164	232	1176
165	233	1170
166	233	1165
167	234	1159
168	234	1153
169	235	1147
170	235	1142
171	236	1136
172	236	1130
